City,DealerName,LocatorLatitude,LocatorLongitude,Phone,PostalAddress,State,Website,ZipCode
Anchorage,Circle Plumbing &amp;amp; Heating,61.1518000000001,-149.9469,888-581-3991,2317 Raspberry Rd,AK,http://circleplumbingandheating.com/,99502
Wasilla,Trans Alaska Mechanical LLC,61.5950000000001,-149.3769,888-493-8668,1255 W Winter Ct,AK,http://www.trans-ak.com,99654
Vestavia,"Sentry Heating, Air Conditioning, Plumbing &amp;amp; Electrical",33.442,-86.7394999999999,205-208-7231,2490 Rocky Ridge Rd,AL,http://www.sentryheating.com,35243
Birmingham,Stegall Heating-Cooling-Plumbing-Electrical,33.5089,-86.8014000000002,205-208-3746,2800 5th Ave S,AL,http://www.callstegall.com/,35233
Birmingham,Grissom Brother Service Co,33.5222,-86.7699000000001,205-208-7210,4907 Powell Ave S,AL,http://www.grissomservice.com,35222
Calera,"Active Air, Inc.",33.1091,-86.7183000000001,205-690-0943,1060 10th St,AL,http://www.activeaircalera.com,35040
Alabaster,Mainline Htg &amp;amp; A/C Co.,33.2261,-86.7661999999998,205-406-6992,400 Hillwood Park S,AL,,35007
Westover,Champs Air Solutions,33.4503,-86.4891000000001,205-775-7556,3981 Westover Rd,AL,,35147
Birmingham,Vulcan Heating and AC,33.3655,-86.7846,205-208-7960,255 Riverchase Pkwy E,AL,,35244
Irondale,Parker &amp;amp; Sons,33.5393,-86.6626000000001,205-538-2640,2010 1st Ave N,AL,,35210
Birmingham,"Strong Air Conditioning Company, Inc",33.3655,-86.7846,205-208-1649,116 David Green Rd,AL,,35244
Clay,Hastings Heating and Air Conditioning,33.7027,-86.5998000000003,205-810-0695,PO Box 268,AL,,35048
Oxford,HVAC Specialist,33.587,-85.8241000000003,256-403-1575,PO Box 3252,AL,,36203
Pell City,ASC Allen Service Co,33.6306,-86.2937999999998,205-773-2064,1711 1st Ave S,AL,,35125
Anniston,Wildes Air Conditioning Company,33.6763,-85.9351,256-403-7486,109 W 10th St,AL,,36201
Anniston,Fondren Heating and Air Conditioning,33.6763,-85.9351,256-403-0881,505 Noble St,AL,,36201
Anniston,"Climate Flow, LLC",33.6763,-85.9351,256-403-1691,505 S Noble St,AL,http://www.climateflow.com,36201
Leeds,Tri Counties Heating and Air Inc,33.516,-86.5866999999998,205-352-4715,1710 11th St,AL,,35094
Gadsden,Coosa Heating and Cooling,34.03,-86.0360999999998,256-467-6187,2409 Chestnut St,AL,,35904
Trussville,Jerry Robbins Mechanical Service,33.6426,-86.5754000000001,205-598-2491,110 N Chalkville Rd,AL,,35173
Greensboro,Reynolds Electric &amp;amp; Refrigeration,32.7252,-87.5841000000003,205-315-9848,206 1st St,AL,,36744
Northport,P and C Heating and Air Conditioning,33.2237,-87.6105999999998,205-561-0176,2721 10th St,AL,,35476
Tuscaloosa,Farley and Hysaw Heating and Air Conditioning,33.1197,-87.5295000000002,205-737-3979,603 41st St,AL,http://www.farleyandhysaw.com,35405
Elkmont,Nelms Heating &amp;amp; Cooling,34.921,-86.9239,256-278-4539,23349 Pepper Farm Ln,AL,,35620
Owens Cross Roads,A-1 Services Inc,34.611,-86.4644000000003,256-756-4569,3805 Old Highway 431,AL,,35763
New Market,"Tipton Heating and Cooling, Inc",34.9151,-86.4085,256-829-2844,1678 Joe Quick Rd,AL,,35761
Athens,Macky Tucker Htg &amp;amp; Clg,34.8829,-87.0601000000003,256-262-8845,25755 Stinnett Hollow Rd,AL,,35614
Athens,AllPro Heating &amp;amp; A/C,34.8829,-87.0601000000003,256-763-0908,20212 Gilcrest Rd.,AL,,35614
Harvest,Superior Heating &amp;amp; Air Inc.,34.8338,-86.7377000000003,256-801-4864,28731 Capshaw Rd,AL,,35749
Huntsville,H. C. Blake,34.7252,-86.5615999999998,256-469-3516,406 Holmes Ave NW,AL,,35801
Lacey Springs,Mitchell&amp;#39;s Htg &amp;amp; A/C,34.4855,-86.6281,256-715-6644,15805 US Hwy 231 South,AL,,35754
Huntsville,Conditioned Air Solutions,34.7679,-86.6828999999998,256-715-6645,200 Dan Tibbs Rd NW,AL,,35806
Huntsville,Air Care  Systems,34.7119,-86.6546000000001,256-715-6891,PO Box 1621,AL,,35807
Huntsville,"East, Joe Heating and Air Conditioning",34.8004,-86.6050000000001,256-203-0035,2011 Poole Dr NW,AL,http://www.joeeasthvac.com,35810
Laceys Spring,Comfort Control,34.4855,-86.6281,256-715-9991,1071 Highway 231,AL,,35754
Montgomery,Air Conditioning by Luquire,32.3839,-86.1443999999998,334-954-1964,1155 N Eastern Blvd,AL,http://www.acbyluquire.com,36117
Marietta,Accutemp,34.0334,-84.5091,678-813-1933,805 Jamerson Rd,GA,,30066
Montgomery,Tillery Heating &amp;amp; Air Conditioning,32.4418,-86.2540000000001,334-954-1978,2360 S Forbes Dr,AL,,36110
Heflin,P &amp;amp; S Heating and Air Conditioning,33.6126,-85.6035000000002,256-294-4847,3230 County Road 11,AL,,36264
Daleville,Snellgrove and Caylor Heating and Cooling,31.2347,-85.7586000000001,334-392-7510,3790 Highway 84,AL,,36322
Dothan,Southeastern Cooling,31.271,-85.3922999999998,334-370-1401,3935 Reeves St,AL,,36303
Foley,Comfort Solutions Heating and Cooling,30.3794,-87.7151000000001,251-616-3200,9098 Hard Dr,AL,http://www.comfortsolutionscooling.com/,36535
Summerdale,"Climatemp Cooling &amp;amp; Heating, Inc.",30.4824,-87.7037,251-616-6258,103 State Highway 59 S,AL,,36580
Foley,"American Air Solutions, Inc.",30.3794,-87.7151000000001,251-616-3445,22711 US Highway 98,AL,,36535
Pensacola,All Seasons Service Network,30.4205,-87.2233999999999,850-972-1799,89 E Blount St,FL,http://www.allseasonsservicenet.com,32501
Mobile,Davies Air Design,30.6274,-88.1508000000001,251-272-5826,3746 Halls Mill Rd,AL,,36693
Selma,Dallas A/C and Heating,32.4494,-87.0177999999999,334-526-0461,3900 US Highway 80 W,AL,,36701
Opelika,Oasis Heat/Air,32.6833,-85.4034000000003,334-610-1970,1026 County Road 173,AL,,36801
Dadeville,Kelley&amp;#39;s Heat/Air,32.8401,-85.7361999999999,256-853-0386,10973 County Road 34,AL,,36853
Columbus,Sam Hewitt Services,32.5424,-84.9246000000002,762-821-0834,4444 Miller Rd,GA,,31909
Macon,"Conditioned Air, Inc.",32.7882,-83.6652,478-239-2144,241 South St,GA,http://www.conditionedairinc.com/,31206
Linden,Marlowe Electric,32.2835,-87.8145,334-357-5373,2210 S Main St,AL,,36748
