DealerName,PostalAddress,City,State,ZipCode,Country,Phone,LocatorLatitude,LocatorLongitude,Website,Brand
Circle Plumbing & Heating,2317 Raspberry Rd,Anchorage,AK,99502,United States,888-581-3991,61.1518000000001,-149.9469,http://circleplumbingandheating.com/,Carrier
Trans Alaska Mechanical LLC,1255 W Winter Ct,Wasilla,AK,99654,United States,888-493-8668,61.5950000000001,-149.3769,http://www.trans-ak.com,Carrier
"Sentry Heating, Air Conditioning, Plumbing & Electrical",2490 Rocky Ridge Rd,Vestavia,AL,35243,United States,205-208-7231,33.442,-86.7394999999999,http://www.sentryheating.com,Carrier
Stegall Heating-Cooling-Plumbing-Electrical,2800 5th Ave S,Birmingham,AL,35233,United States,205-208-3746,33.5089,-86.8014000000002,http://www.callstegall.com/,Carrier
Grissom Brother Service Co,4907 Powell Ave S,Birmingham,AL,35222,United States,205-208-7210,33.5222,-86.7699000000001,http://www.grissomservice.com,Carrier
"Active Air, Inc.",1060 10th St,Calera,AL,35040,United States,205-690-0943,33.1091,-86.7183000000001,http://www.activeaircalera.com,Carrier
Mainline Htg & A/C Co.,400 Hillwood Park S,Alabaster,AL,35007,United States,205-406-6992,33.2261,-86.7661999999998,,Carrier
Champs Air Solutions,3981 Westover Rd,Westover,AL,35147,United States,205-775-7556,33.4503,-86.4891000000001,,Carrier
Vulcan Heating and AC,255 Riverchase Pkwy E,Birmingham,AL,35244,United States,205-208-7960,33.3655,-86.7846,,Carrier
Parker & Sons,2010 1st Ave N,Irondale,AL,35210,United States,205-538-2640,33.5393,-86.6626000000001,,Carrier
"Strong Air Conditioning Company, Inc",116 David Green Rd,Birmingham,AL,35244,United States,205-208-1649,33.3655,-86.7846,,Carrier
Hastings Heating and Air Conditioning,PO Box 268,Clay,AL,35048,United States,205-810-0695,33.7027,-86.5998000000003,,Carrier
HVAC Specialist,PO Box 3252,Oxford,AL,36203,United States,256-403-1575,33.587,-85.8241000000003,,Carrier
ASC Allen Service Co,1711 1st Ave S,Pell City,AL,35125,United States,205-773-2064,33.6306,-86.2937999999998,,Carrier
Wildes Air Conditioning Company,109 W 10th St,Anniston,AL,36201,United States,256-403-7486,33.6763,-85.9351,,Carrier
Fondren Heating and Air Conditioning,505 Noble St,Anniston,AL,36201,United States,256-403-0881,33.6763,-85.9351,,Carrier
"Climate Flow, LLC",505 S Noble St,Anniston,AL,36201,United States,256-403-1691,33.6763,-85.9351,http://www.climateflow.com,Carrier
Tri Counties Heating and Air Inc,1710 11th St,Leeds,AL,35094,United States,205-352-4715,33.516,-86.5866999999998,,Carrier
Coosa Heating and Cooling,2409 Chestnut St,Gadsden,AL,35904,United States,256-467-6187,34.03,-86.0360999999998,,Carrier
Jerry Robbins Mechanical Service,110 N Chalkville Rd,Trussville,AL,35173,United States,205-598-2491,33.6426,-86.5754000000001,,Carrier
Reynolds Electric & Refrigeration,206 1st St,Greensboro,AL,36744,United States,205-315-9848,32.7252,-87.5841000000003,,Carrier
P and C Heating and Air Conditioning,2721 10th St,Northport,AL,35476,United States,205-561-0176,33.2237,-87.6105999999998,,Carrier
